City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
216,noosa heads,-26.3833,153.15,26.17,82,16,0.74,AU,1706995275
217,tazovsky,67.4667,78.7,-14.37,93,100,2.5,RU,1706995276
218,atbara,17.7022,33.9864,17.45,16,34,5.64,SD,1706995276
219,kodiak,57.79,-152.4072,-3.27,93,100,0.0,US,1706995277
220,yakeshi,49.2833,120.7333,-35.89,100,99,1.0,CN,1706995278
221,nichinan,31.6,131.3667,9.82,92,100,5.04,JP,1706995279
222,ujae,8.9322,165.7642,27.23,83,98,10.48,MH,1706995279
223,castillos,-34.1667,-53.8333,28.16,57,83,6.96,UY,1706995280
224,muroto-misakicho,33.2833,134.15,9.16,87,100,7.55,JP,1706995281
225,kargasok,59.0556,80.8572,-14.79,97,100,2.93,RU,1706995282
226,tuy hoa,13.0833,109.3,22.4,91,74,1.8,VN,1706995282
227,kismayo,-0.3582,42.5454,26.45,86,19,6.9,SO,1706995283
228,naze,28.3667,129.4833,17.51,85,78,4.12,JP,1706995284
229,la ronge,55.1001,-105.2842,1.14,86,75,3.6,CA,1706995285
230,atamyrat,37.8357,65.2106,2.49,71,98,3.98,TM,1706995286
231,niquero,20.0431,-77.5828,26.49,63,58,2.78,CU,1706995287
232,ust-nera,64.5667,143.2,-24.57,99,100,2.15,RU,1706995288
233,rusape,-18.5278,32.1284,14.5,90,3,0.47,ZW,1706995289
234,mutuali,-14.8706,37.0044,20.86,95,84,1.1,MZ,1706995290
235,zag,46.9441,99.165,-17.07,98,100,1.02,MN,1706995290
236,hammerfest,70.6634,23.6821,-3.75,80,75,3.09,NO,1706995291
237,raja,8.4596,25.678,22.16,18,14,2.28,SS,1706995292
238,brookings,44.3114,-96.7984,2.0,100,100,5.14,US,1706995293
239,aktyubinskiy,54.8137,52.8056,-8.41,94,100,4.93,RU,1706995294
240,pagar alam,-4.0167,103.2667,19.84,97,100,1.29,ID,1706995294
